,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
218,0.45,0.8,0.25,-0.059,0.04,-1.053,0.083,-1.457,-2.076,94120.989,0.056,398,0.941,0.056,0.568
219,0.45,0.9,0.25,-0.047,0.039,-0.79,0.078,-1.182,-1.742,95383.342,0.058,394,0.954,0.058,0.563
220,0.05,0.6,0.3,-0.016,0.008,-0.947,0.034,-2.327,-4.569,98448.531,0.017,336,0.984,0.017,0.732
221,0.05,0.7,0.3,-0.018,0.008,-1.063,0.036,-2.397,-4.865,98200.067,0.017,334,0.982,0.017,0.731
222,0.05,0.8,0.3,-0.017,0.008,-0.917,0.036,-2.176,-4.682,98350.067,0.018,334,0.984,0.018,0.731
223,0.05,0.9,0.3,-0.019,0.008,-1.054,0.039,-2.307,-4.972,98100.067,0.018,334,0.981,0.018,0.737
224,0.15,0.6,0.3,-0.024,0.016,-0.885,0.044,-1.741,-2.914,97655.963,0.027,322,0.977,0.027,0.733
225,0.15,0.7,0.3,-0.029,0.016,-1.058,0.051,-1.883,-3.248,97107.499,0.028,320,0.971,0.028,0.738
226,0.15,0.8,0.3,-0.02,0.016,-0.679,0.049,-1.45,-2.688,97987.499,0.03,320,0.98,0.03,0.738
227,0.15,0.9,0.3,-0.015,0.016,-0.472,0.054,-1.195,-2.362,98487.499,0.032,320,0.985,0.032,0.744
228,0.25,0.6,0.3,-0.006,0.02,-0.173,0.049,-0.858,-1.438,99376.75,0.033,306,0.994,0.033,0.627
229,0.25,0.7,0.3,-0.011,0.02,-0.309,0.056,-0.985,-1.659,98918.286,0.034,304,0.989,0.034,0.638
230,0.25,0.8,0.3,-0.001,0.02,-0.014,0.054,-0.656,-1.169,99888.286,0.036,304,0.999,0.036,0.638
231,0.25,0.9,0.3,0.002,0.02,0.059,0.058,-0.552,-1.035,100149.57,0.037,302,1.001,0.037,0.636
232,0.35,0.6,0.3,-0.044,0.026,-1.178,0.066,-1.784,-2.54,95636.861,0.038,304,0.956,0.038,0.592
233,0.35,0.7,0.3,-0.049,0.027,-1.299,0.073,-1.9,-2.7,95168.397,0.038,302,0.952,0.038,0.603
234,0.35,0.8,0.3,-0.044,0.027,-1.139,0.074,-1.721,-2.527,95598.397,0.039,302,0.956,0.039,0.603
235,0.35,0.9,0.3,-0.042,0.027,-1.022,0.079,-1.58,-2.424,95859.681,0.041,300,0.959,0.041,0.6
236,0.45,0.6,0.3,-0.054,0.033,-1.247,0.087,-1.769,-2.329,94647.912,0.044,302,0.946,0.044,0.55
237,0.45,0.7,0.3,-0.061,0.033,-1.408,0.094,-1.928,-2.524,93969.448,0.044,300,0.94,0.044,0.56
238,0.45,0.8,0.3,-0.056,0.033,-1.249,0.094,-1.756,-2.36,94479.448,0.045,300,0.945,0.045,0.56
239,0.45,0.9,0.3,-0.052,0.033,-1.12,0.096,-1.608,-2.244,94850.732,0.047,298,0.949,0.047,0.557
