,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
229,0.25,0.7,0.3,-0.051,0.022,-1.615,0.072,-2.333,-3.351,94989.622,0.032,306,0.95,0.032,0.34
230,0.25,0.8,0.3,-0.047,0.022,-1.456,0.071,-2.149,-3.196,95310.583,0.033,304,0.953,0.033,0.336
231,0.25,0.9,0.3,-0.043,0.022,-1.248,0.068,-1.909,-2.984,95762.217,0.034,302,0.958,0.034,0.331
232,0.35,0.6,0.3,-0.059,0.03,-1.561,0.08,-2.152,-2.802,94132.098,0.039,302,0.941,0.039,0.404
233,0.35,0.7,0.3,-0.054,0.029,-1.377,0.078,-1.953,-2.622,94662.098,0.04,302,0.947,0.04,0.404
234,0.35,0.8,0.3,-0.051,0.029,-1.258,0.077,-1.821,-2.502,94994.235,0.041,298,0.95,0.041,0.396
235,0.35,0.9,0.3,-0.044,0.029,-1.048,0.073,-1.59,-2.274,95645.869,0.042,296,0.956,0.042,0.392
236,0.45,0.6,0.3,-0.076,0.036,-1.763,0.096,-2.275,-2.782,92433.616,0.044,298,0.924,0.044,0.45
237,0.45,0.7,0.3,-0.07,0.036,-1.57,0.09,-2.073,-2.599,93093.616,0.045,298,0.931,0.045,0.45
238,0.45,0.8,0.3,-0.067,0.036,-1.465,0.088,-1.959,-2.5,93415.753,0.046,294,0.934,0.046,0.442
239,0.45,0.9,0.3,-0.06,0.036,-1.275,0.084,-1.755,-2.313,94067.386,0.047,292,0.941,0.047,0.438
