,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
222,0.05,0.8,0.3,0.001,0.005,0.123,0.011,-1.716,-4.416,100144.219,0.012,104,1.001,0.012,0.212
223,0.05,0.9,0.3,0.001,0.005,0.123,0.011,-1.716,-4.416,100144.219,0.012,104,1.001,0.012,0.212
224,0.15,0.6,0.3,0.001,0.01,0.078,0.019,-1.068,-2.092,100134.219,0.02,104,1.001,0.02,0.288
225,0.15,0.7,0.3,0.001,0.01,0.063,0.019,-1.093,-2.121,100104.219,0.02,104,1.001,0.02,0.288
226,0.15,0.8,0.3,0.001,0.01,0.068,0.019,-1.086,-2.111,100114.219,0.02,104,1.001,0.02,0.288
227,0.15,0.9,0.3,0.004,0.01,0.197,0.019,-0.903,-1.846,100384.219,0.021,104,1.004,0.021,0.288
228,0.25,0.6,0.3,-0.017,0.017,-0.692,0.029,-1.624,-2.405,98305.222,0.024,102,0.983,0.024,0.353
229,0.25,0.7,0.3,-0.017,0.017,-0.666,0.029,-1.597,-2.368,98365.222,0.024,102,0.984,0.024,0.353
230,0.25,0.8,0.3,-0.016,0.017,-0.652,0.029,-1.58,-2.35,98395.222,0.025,102,0.984,0.025,0.353
231,0.25,0.9,0.3,-0.014,0.016,-0.531,0.029,-1.431,-2.198,98645.222,0.025,102,0.986,0.025,0.353
232,0.35,0.6,0.3,-0.024,0.021,-0.845,0.033,-1.659,-2.18,97645.222,0.028,102,0.976,0.028,0.392
233,0.35,0.7,0.3,-0.023,0.021,-0.822,0.033,-1.636,-2.151,97705.222,0.028,102,0.977,0.028,0.392
234,0.35,0.8,0.3,-0.023,0.021,-0.809,0.033,-1.621,-2.137,97735.222,0.028,102,0.977,0.028,0.392
235,0.35,0.9,0.3,-0.02,0.021,-0.7,0.033,-1.494,-2.019,97985.222,0.029,102,0.98,0.029,0.392
236,0.45,0.6,0.3,-0.031,0.025,-1.017,0.037,-1.759,-2.18,96904.161,0.031,102,0.969,0.031,0.392
237,0.45,0.7,0.3,-0.031,0.025,-0.996,0.037,-1.737,-2.155,96964.161,0.031,102,0.97,0.031,0.392
238,0.45,0.8,0.3,-0.03,0.025,-0.984,0.037,-1.724,-2.143,96994.161,0.031,102,0.97,0.031,0.392
239,0.45,0.9,0.3,-0.028,0.025,-0.882,0.037,-1.608,-2.042,97244.161,0.031,102,0.972,0.031,0.392
